time,gFx,gFy,gFz,TgF
1.144000,-0.0192,0.2994,1.0783,1.119
1.151000,-0.0089,0.2890,1.0908,1.128
1.152000,0.0095,0.2809,1.0860,1.122
1.155000,0.0302,0.2794,1.0671,1.104
1.162000,0.0465,0.2833,1.0449,1.084
1.170000,0.0666,0.2950,1.0245,1.068
1.170000,0.0764,0.3162,1.0100,1.061
1.176000,0.0756,0.3222,0.9983,1.052
1.179000,0.0652,0.3060,0.9785,1.027
1.183000,0.0494,0.2751,0.9415,0.982
1.188000,0.0316,0.2448,0.9016,0.935
1.193000,0.0234,0.2266,0.8686,0.898
1.198000,0.0149,0.2117,0.8481,0.874
1.203000,0.0028,0.1882,0.8357,0.857
1.208000,-0.0064,0.1759,0.8336,0.852
1.213000,-0.0106,0.1701,0.8391,0.856
1.217000,-0.0369,0.1591,0.8572,0.873
1.222000,-0.0745,0.1448,0.8912,0.906
1.229000,-0.1113,0.1296,0.9323,0.948
1.235000,-0.1355,0.1182,0.9668,0.983
1.239000,-0.1417,0.1262,0.9946,1.013
1.247000,-0.1427,0.1526,1.0229,1.044
1.251000,-0.1340,0.1903,1.0461,1.072
1.255000,-0.1137,0.2319,1.0524,1.084
1.262000,-0.0799,0.2703,1.0410,1.078
1.265000,-0.0440,0.3081,1.0196,1.066
1.267000,-0.0071,0.3422,0.9781,1.036
1.271000,0.0307,0.3712,0.9401,1.011
1.279000,0.0629,0.3926,0.9095,0.993
1.282000,0.0829,0.4093,0.8959,0.988
1.287000,0.0973,0.4180,0.9062,1.003
1.301000,0.0970,0.4217,0.9374,1.032
1.303000,0.0861,0.4174,0.9764,1.065
1.303000,0.0669,0.4051,1.0165,1.096
1.307000,0.0341,0.3727,1.0488,1.114
1.311000,0.0002,0.3267,1.0582,1.107
1.321000,-0.0405,0.2562,1.0472,1.079
1.326000,-0.1554,0.0304,1.0085,1.021
1.331000,-0.1377,-0.0108,0.9821,0.992
1.335000,-0.0839,0.0148,0.9842,0.988
1.340000,-0.0393,0.0500,0.9893,0.991
1.345000,-0.0250,0.0526,0.9911,0.993
1.350000,0.0142,0.0889,0.9853,0.989
1.357000,0.0486,0.1348,0.9924,1.003
1.360000,0.0529,0.1746,1.0023,1.019
1.366000,0.0462,0.2145,1.0017,1.025
1.370000,0.0400,0.2515,0.9943,1.026
1.377000,0.0270,0.2865,0.9852,1.026
1.381000,0.0145,0.3133,0.9743,1.024
1.385000,0.0113,0.3355,0.9601,1.017
1.391000,0.0169,0.3518,0.9498,1.013
1.397000,0.0201,0.3628,0.9520,1.019
1.400000,0.0291,0.3726,0.9706,1.040
1.405000,0.0401,0.3849,0.9943,1.067
1.414000,0.0440,0.3882,1.0159,1.088
1.417000,0.0378,0.3805,1.0237,1.093
1.419000,0.0310,0.3673,1.0168,1.082
1.424000,0.0265,0.3553,0.9964,1.058
1.429000,0.0307,0.3519,0.9645,1.027
1.434000,0.0449,0.3512,0.9265,0.992
1.441000,0.0595,0.3488,0.8851,0.953
1.444000,0.0710,0.3449,0.8457,0.916
1.449000,0.0721,0.3432,0.8224,0.894
1.453000,0.0622,0.3437,0.8196,0.891
1.458000,0.0450,0.3483,0.8370,0.908
1.463000,0.0216,0.3524,0.8715,0.940
1.468000,-0.0060,0.3538,0.9136,0.980
1.473000,-0.0316,0.3505,0.9544,1.017
1.479000,-0.0518,0.3466,0.9838,1.044
1.483000,-0.0652,0.3389,1.0040,1.062
1.488000,-0.0682,0.3258,1.0190,1.072
1.493000,-0.0604,0.3122,1.0261,1.074
1.497000,-0.0458,0.2996,1.0254,1.069
1.502000,-0.0275,0.2871,1.0186,1.059
1.508000,-0.0094,0.2736,1.0094,1.046
1.513000,0.0065,0.2610,1.0028,1.036
1.517000,0.0236,0.2513,0.9997,1.031
1.522000,0.0342,0.2447,0.9980,1.028
1.527000,0.0392,0.2389,0.9967,1.026
1.532000,0.0448,0.2357,0.9931,1.022
1.537000,0.0428,0.2367,0.9876,1.016
1.542000,0.0358,0.2378,0.9814,1.010
1.547000,0.0320,0.2414,0.9767,1.007
1.553000,0.0288,0.2491,0.9765,1.008
1.557000,0.0256,0.2573,0.9783,1.012
1.562000,0.0236,0.2660,0.9752,1.011
1.566000,0.0219,0.2747,0.9712,1.010
1.571000,0.0262,0.2850,0.9671,1.009
1.577000,0.0347,0.2957,0.9575,1.003
1.581000,0.0420,0.3045,0.9471,0.996
1.586000,0.0491,0.3094,0.9369,0.988
1.591000,0.0530,0.3114,0.9261,0.978
1.596000,0.0545,0.3099,0.9146,0.967
1.601000,0.0506,0.3039,0.9029,0.954
1.606000,0.0477,0.2974,0.8960,0.945
1.612000,0.0472,0.2917,0.8880,0.936
1.616000,0.0462,0.2908,0.8898,0.937
1.621000,0.0459,0.2921,0.9034,0.951
1.626000,0.0466,0.2961,0.9252,0.973
1.631000,0.0457,0.3000,0.9533,1.000
1.636000,0.0409,0.3035,0.9819,1.029
1.640000,0.0465,0.3042,1.0153,1.061
1.646000,0.0519,0.3076,1.0252,1.072
1.651000,0.0586,0.3061,1.0018,1.049
1.655000,0.0610,0.3071,0.9631,1.013
1.661000,0.0602,0.3184,0.9244,0.980
1.666000,0.0600,0.3380,0.8865,0.951
1.670000,0.0570,0.3579,0.8453,0.920
1.676000,0.0497,0.3853,0.8042,0.893
1.682000,0.0374,0.4087,0.7638,0.867
1.687000,0.0140,0.4180,0.7347,0.845
1.690000,-0.0041,0.4142,0.7121,0.824
1.703000,-0.0153,0.4056,0.7172,0.824
1.704000,-0.0182,0.3972,0.7352,0.836
1.705000,-0.0235,0.3831,0.7679,0.858
